time,tavg,tmin,tdew,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,relative_humidity,provincia,latitude,longitude
2015-03-25,24.87,21.56,,,2.53,,,1.28,,,,83.02,Esmeraldas,0.6955,-79.224
2015-03-26,25.71,21.02,,,2.27,,,1.35,,,,77.43,Esmeraldas,0.6955,-79.224
2015-03-27,25.39,21.9,,,9.99,,,1.21,,,,82.51,Esmeraldas,0.6955,-79.224
2015-03-28,24.73,21.9,,,10.0,,,1.72,,,,85.31,Esmeraldas,0.6955,-79.224
2015-03-29,23.67,20.71,,,3.36,,,1.01,,,,84.24,Esmeraldas,0.6955,-79.224
2015-03-30,25.69,20.8,,,1.02,,,1.38,,,,76.61,Esmeraldas,0.6955,-79.224
2015-03-31,25.3,22.33,,,5.63,,,0.98,,,,84.83,Esmeraldas,0.6955,-79.224
2015-04-01,24.63,22.9,,,32.15,,,1.78,,,,90.59,Esmeraldas,0.6955,-79.224
2015-04-02,23.79,22.15,,,17.5,,,1.35,,,,90.74,Esmeraldas,0.6955,-79.224
2015-04-03,24.94,22.13,,,8.11,,,1.33,,,,85.36,Esmeraldas,0.6955,-79.224
2015-04-04,25.37,22.77,,,10.32,,,1.58,,,,86.49,Esmeraldas,0.6955,-79.224
2015-04-05,25.23,22.74,,,9.68,,,1.58,,,,87.03,Esmeraldas,0.6955,-79.224
2015-04-06,25.4,22.71,,,5.5,,,1.58,,,,86.19,Esmeraldas,0.6955,-79.224
2015-04-07,25.51,23.13,,,4.01,,,1.74,,,,87.5,Esmeraldas,0.6955,-79.224
2015-04-08,25.72,22.8,,,0.32,,,2.03,,,,84.96,Esmeraldas,0.6955,-79.224
2015-04-09,26.23,23.24,,,2.12,,,1.98,,,,84.76,Esmeraldas,0.6955,-79.224
2015-04-10,26.26,23.22,,,2.93,,,2.07,,,,84.7,Esmeraldas,0.6955,-79.224
2015-04-11,25.9,23.39,,,10.37,,,2.04,,,,87.05,Esmeraldas,0.6955,-79.224
2015-04-12,26.12,22.89,,,2.25,,,1.62,,,,84.05,Esmeraldas,0.6955,-79.224
2015-04-13,26.13,22.95,,,1.61,,,1.86,,,,84.04,Esmeraldas,0.6955,-79.224
2015-04-14,26.15,22.32,,,2.58,,,1.48,,,,81.26,Esmeraldas,0.6955,-79.224
2015-04-15,25.38,22.78,,,8.41,,,1.64,,,,86.59,Esmeraldas,0.6955,-79.224
2015-04-16,24.82,22.82,,,18.73,,,1.52,,,,89.3,Esmeraldas,0.6955,-79.224
2015-04-17,25.08,22.61,,,4.32,,,1.36,,,,87.05,Esmeraldas,0.6955,-79.224
2015-04-18,25.54,22.47,,,2.43,,,1.39,,,,84.55,Esmeraldas,0.6955,-79.224
2015-04-19,25.57,22.77,,,4.35,,,1.79,,,,85.63,Esmeraldas,0.6955,-79.224
2015-04-20,24.88,22.76,,,16.89,,,1.87,,,,88.68,Esmeraldas,0.6955,-79.224
2015-04-21,24.4,22.07,,,11.82,,,1.2,,,,87.68,Esmeraldas,0.6955,-79.224
2015-04-22,25.02,22.67,,,11.48,,,1.38,,,,87.59,Esmeraldas,0.6955,-79.224
2015-04-23,25.07,23.08,,,30.8,,,1.93,,,,89.34,Esmeraldas,0.6955,-79.224
2015-04-24,24.89,22.56,,,12.37,,,2.11,,,,87.72,Esmeraldas,0.6955,-79.224
2015-04-25,25.02,22.53,,,0.58,,,1.69,,,,87.05,Esmeraldas,0.6955,-79.224
2015-04-26,25.66,23.29,,,2.69,,,1.77,,,,87.57,Esmeraldas,0.6955,-79.224
2015-04-27,25.91,23.53,,,8.75,,,1.89,,,,87.65,Esmeraldas,0.6955,-79.224
2015-04-28,25.62,23.12,,,6.59,,,1.9,,,,86.95,Esmeraldas,0.6955,-79.224
2015-04-29,25.45,22.69,,,2.09,,,2.24,,,,85.89,Esmeraldas,0.6955,-79.224
